"","precinct","hearing_held_guilty","hearing_held_guilty_reduction","hearing_held_not_guilty","Total","NGPercent"
"1",0,771,2304,2238,5313,0.421230942970073
"2",1,795,1730,1704,4229,0.402932135256562
"3",2,3,2,12,17,0.705882352941177
"4",3,2,NA,5,NA,NA
"5",4,1,3,5,9,0.555555555555556
"6",5,350,242,849,1441,0.589174184594032
"7",6,176,164,297,637,0.466248037676609
"8",7,259,284,692,1235,0.560323886639676
"9",8,4,2,16,22,0.727272727272727
"10",9,198,108,305,611,0.499181669394435
"11",10,180,160,711,1051,0.676498572787821
"12",11,NA,1,3,NA,NA
"13",12,5,49,28,82,0.341463414634146
"14",13,313,727,928,1968,0.471544715447154
"15",14,616,1561,2099,4276,0.49087932647334
"16",15,NA,6,16,NA,NA
"17",16,4,17,16,37,0.432432432432432
"18",17,703,2126,2536,5365,0.472693383038211
"19",18,1136,2818,2105,6059,0.347417065522363
"20",19,724,931,1853,3508,0.528221208665906
"21",20,130,362,206,698,0.29512893982808
"22",21,NA,2,5,NA,NA
"23",22,2,NA,5,NA,NA
"24",23,223,81,583,887,0.657271702367531
"25",24,189,259,325,773,0.420439844760673
"26",25,270,50,334,654,0.510703363914373
"27",26,226,55,513,794,0.646095717884131
"28",27,9,124,22,155,0.141935483870968
"29",28,163,29,171,363,0.471074380165289
"30",29,1,NA,2,NA,NA
"31",30,534,82,658,1274,0.516483516483517
"32",31,1,NA,NA,NA,NA
"33",32,324,26,182,532,0.342105263157895
"34",33,318,167,369,854,0.432084309133489
"35",34,749,329,1345,2423,0.555096987205943
"36",35,NA,1,1,NA,NA
"37",37,NA,1,4,NA,NA
"38",38,NA,NA,3,NA,NA
"39",39,NA,NA,1,NA,NA
"40",40,396,97,249,742,0.335579514824798
"41",41,191,15,184,390,0.471794871794872
"42",42,308,15,317,640,0.4953125
"43",43,359,35,353,747,0.472556894243641
"44",44,609,31,399,1039,0.384023099133782
"45",45,209,30,251,490,0.512244897959184
"46",46,299,23,306,628,0.487261146496815
"47",47,401,19,287,707,0.405940594059406
"48",48,196,16,184,396,0.464646464646465
"49",49,253,10,220,483,0.455486542443064
"50",50,220,18,202,440,0.459090909090909
"51",51,1,NA,NA,NA,NA
"52",52,475,58,369,902,0.409090909090909
"53",53,NA,NA,2,NA,NA
"54",54,1,NA,NA,NA,NA
"55",56,NA,NA,1,NA,NA
"56",58,1,NA,NA,NA,NA
"57",60,479,71,503,1053,0.477682811016144
"58",61,452,129,653,1234,0.529173419773096
"59",62,506,70,547,1123,0.487088156723063
"60",63,260,58,362,680,0.532352941176471
"61",64,1,1,2,4,0.5
"62",65,NA,1,4,NA,NA
"63",66,923,98,895,1916,0.467118997912317
"64",67,484,22,366,872,0.419724770642202
"65",68,370,118,489,977,0.500511770726714
"66",69,397,41,334,772,0.432642487046632
"67",70,1068,189,1088,2345,0.463965884861407
"68",71,703,61,424,1188,0.356902356902357
"69",72,480,63,621,1164,0.533505154639175
"70",73,238,14,173,425,0.407058823529412
"71",74,1,9,7,17,0.411764705882353
"72",75,256,22,134,412,0.325242718446602
"73",76,432,339,625,1396,0.447707736389685
"74",77,372,36,230,638,0.360501567398119
"75",78,283,73,315,671,0.469448584202683
"76",79,289,15,176,480,0.366666666666667
"77",80,2,NA,1,NA,NA
"78",81,111,11,63,185,0.340540540540541
"79",83,269,26,200,495,0.404040404040404
"80",84,467,386,676,1529,0.44211903204709
"81",85,NA,NA,2,NA,NA
"82",87,NA,1,3,NA,NA
"83",88,216,43,256,515,0.497087378640777
"84",89,2,NA,5,NA,NA
"85",90,294,47,330,671,0.491803278688525
"86",91,1,NA,2,NA,NA
"87",94,313,229,294,836,0.351674641148325
"88",95,1,1,NA,NA,NA
"89",96,NA,NA,1,NA,NA
"90",97,NA,NA,1,NA,NA
"91",99,NA,NA,1,NA,NA
"92",100,215,22,258,495,0.521212121212121
"93",101,237,17,206,460,0.447826086956522
"94",102,270,30,315,615,0.51219512195122
"95",103,437,38,488,963,0.5067497403946
"96",104,341,327,490,1158,0.42314335060449
"97",105,434,127,462,1023,0.451612903225806
"98",106,216,28,251,495,0.507070707070707
"99",107,161,46,226,433,0.521939953810624
"100",108,402,119,603,1124,0.536476868327402
"101",109,419,60,433,912,0.474780701754386
"102",110,348,71,413,832,0.496394230769231
"103",111,218,27,321,566,0.567137809187279
"104",112,174,28,171,373,0.458445040214477
"105",113,170,17,235,422,0.556872037914692
"106",114,410,56,389,855,0.454970760233918
"107",115,294,13,221,528,0.418560606060606
"108",116,3,NA,NA,NA,NA
"109",117,2,NA,NA,NA,NA
"110",118,2,1,1,4,0.25
"111",119,3,NA,1,NA,NA
"112",120,120,16,90,226,0.398230088495575
"113",121,143,24,174,341,0.510263929618768
"114",122,108,27,124,259,0.478764478764479
"115",123,97,35,118,250,0.472
"116",125,1,NA,NA,NA,NA
"117",126,1,NA,NA,NA,NA
"118",127,1,1,NA,NA,NA
"119",151,1,NA,NA,NA,NA
"120",160,NA,NA,1,NA,NA
"121",162,1,NA,NA,NA,NA
"122",163,NA,NA,2,NA,NA
"123",166,1,NA,NA,NA,NA
"124",167,1,NA,NA,NA,NA
"125",173,NA,NA,2,NA,NA
"126",179,1,NA,NA,NA,NA
"127",180,NA,NA,1,NA,NA
"128",210,NA,NA,1,NA,NA
"129",217,NA,NA,1,NA,NA
"130",258,1,NA,NA,NA,NA
"131",269,1,NA,NA,NA,NA
"132",400,1,NA,1,NA,NA
"133",401,126,345,345,816,0.422794117647059
"134",407,NA,1,4,NA,NA
"135",509,NA,NA,1,NA,NA
"136",614,NA,NA,1,NA,NA
"137",618,1,NA,NA,NA,NA
"138",708,NA,NA,1,NA,NA
"139",718,1,NA,NA,NA,NA
"140",777,1,NA,NA,NA,NA
"141",801,NA,NA,1,NA,NA
"142",806,NA,NA,2,NA,NA
